Product Name,Product Company,SKU,Category,Link
A/C Cleaner,Chemverse,CVC001,AC Cleaner,https://www.detailersindia.com/product/a-c-cleaner/
A60 Jade Caliber,Puris,PR001,Finishing Compounds,https://www.detailersindia.com/product/a60-jade-caliber/
A61 Jade Detox Car Wash & Seal,Puris,PR002,Coating Maintenance Shampoos,https://www.detailersindia.com/product/a61-jade-detox-car-wash-seal/
A62 Jade Ceramic Prep Cleaner,Puris,PR003,"Post Polish Cleaning Solutions, Pre Coating Prep",https://www.detailersindia.com/product/a62-jade-ceramic-prep-cleaner/
A64 Tire Protectant,Puris,PR004,Tyre/Trim Dressers,https://www.detailersindia.com/product/a64-tire-protectant/
A65 Jade Fabric Guard,Puris,PR005,Interior Coatings,https://www.detailersindia.com/product/a65-jade-fabric-guard/
A66 Showroom Glow,Puris,PR006,Spray Wax,https://www.detailersindia.com/product/a66-showroom-glow/
A67 Jade Black Trim Dress,Puris,PR007,Tyre/Trim Dressers,https://www.detailersindia.com/product/a67-jade-black-trim-dress/
A68 Jade Reboot,Puris,PR008,"Spray Wax, Spray-on Hydrophobic",https://www.detailersindia.com/product/a68-jade-reboot/
A69 Jade Water Fall,Puris,PR009,Spray-on Hydrophobic,https://www.detailersindia.com/product/a69-jade-water-fall/
A70 Jade Ceramic Detail Spray,Puris,PR010,"Paint Coatings, Spray-on Hydrophobic",https://www.detailersindia.com/product/a70-jade-ceramic-detail-spray/
ADDITIVE Windshield Washer Fluid/Glass Cleaner Additive,Nanoskin,NC022,Special Chemicals,https://www.detailersindia.com/product/additive-windshield-washer-fluid-glass-cleaner-additive/
Adhesive Discs For Denibbing Ø 35mm,Rupes,RP020,Abrasive Discs,https://www.detailersindia.com/product/adhesive-discs-for-denibbing-o-35mm/
AIR FRESHENER concentrate,Nanoskin,NC034,Air Freshners,https://www.detailersindia.com/product/air-freshener-concentrate/
Allround Quick Shine,KochChemie,KC001,Multi Purpose Cleaners,https://www.detailersindia.com/product/all-round-quick-shine/
Angle Polisher LH18ENS,Rupes,RP031,Polishing Machines,https://www.detailersindia.com/product/angle-polisher-lh18ens/
Apc Pro – Lava Interni B Aroma,Fra-Ber,N/A,Interior Cleaner,https://www.detailersindia.com/product/apc-pro-lava-interni-b-aroma/
Aqua Bead Silicone Dressing,Malco,MAL018,Tyre/Trim Dressers,https://www.detailersindia.com/product/aqua-bead-silicone-dressing/
Backing Pad 125mm Velcro Pad Multihole Slim M8 For LHR15 And LHR12 Polisher,Rupes,RP021,Backing Plates,https://www.detailersindia.com/product/backing-pad-125mm-velcro-pad-multihole-slim-m8-for-lhr15-and-lhr12-polisher/
Backing Pad 150mm Velcro Pad Multihole Slim M8 For LHR21 Polisher,Rupes,RP022,Backing Plates,https://www.detailersindia.com/product/backing-pad-150mm-velcro-pad-multihole-slim-m8-for-lhr21-polisher/
Backing Pad 75mm Velcro Pad M14 For FR32E Tools,Rupes,RP026,Backing,https://www.detailersindia.com/product/backing-pad-75mm-velcro-pad-m14-for-fr32e-tools/
Backing Pad 75mm Velcro Pad M6 For LHR75-LHR75E Tools,Rupes,RP024,Backing Plates,https://www.detailersindia.com/product/backing-pad-75mm-velcro-pad-m6-for-lhr75-lhr75e-tools/
Backing Pad For Gear Driven Polisher LK900E,Rupes,RP023,Backing Plates,https://www.detailersindia.com/product/backing-pad-for-gear-driven-polisher-lk900e/
Backing Pad Velcro Pad M14 For Rotary Polisher LH Series Tools,Rupes,RP025,Backing Plates,https://www.detailersindia.com/product/backing-pad-velcro-pad-m14-for-rotary-polisher-lh-series-tools/
Battery Coat,Chemverse,CVC002,Battery Terminal Protection,https://www.detailersindia.com/product/battery-coat/
Belt Dresser,Chemverse,CVC011,Others,https://www.detailersindia.com/product/belt-dresser/
Bigfoot – Claw Pad Tool,Rupes,RP028,Specialty Products,https://www.detailersindia.com/product/bigfoot-claw-pad-tool/
Bigfoot Wall Mounted Tool Holder,Rupes,RP029,"Specialty Products, Tools and Accessories",https://www.detailersindia.com/product/bigfoot-wall-mounted-tool-holder/
Brake Cleaner,Chemverse,CVC003,Brake Cleaner,https://www.detailersindia.com/product/brake-cleaner/
Bravo Car Wash,Malco,MAL012,Exterior Shampoos,https://www.detailersindia.com/product/bravo-car-wash/
Buff Lite II Finishing Creme,Malco,MAL021,One Step Compounds,https://www.detailersindia.com/product/buff-lite-ii-finishing-creme/
BULLET SHINE All Metal Cleaner & Polish,Nanoskin,NC023,Metal Polish Compounds,https://www.detailersindia.com/product/bullet-shine-all-metal-cleaner-polish/
Car Wash Shampoo,Chemverse,CVC004,Exterior Shampoos,https://www.detailersindia.com/product/car-wash-shampoo/
Carburettor Cleaner Spray,Chemverse,CVC012,Others,https://www.detailersindia.com/product/carburettor-cleaner-spray/
Carpet Plus,Malco,MAL032,Carpet Cleaners,https://www.detailersindia.com/product/carpet-plus/
Ceramic Coating Kit For Paint,MaxProtect,MP001,Coating Kits,https://www.detailersindia.com/product/ceramic-coating-kit-for-paint/
Chain Lube,Chemverse,CVC013,Other,https://www.detailersindia.com/product/chain-lube/
Cherry Flash Liquid Paste Wax,Malco,MAL028,Paste Wax,https://www.detailersindia.com/product/cherry-flash-liquid-paste-wax/
CITRO BLAST All Purpose Cleaner Plus,Nanoskin,NC004,All Purpose Cleaners,https://www.detailersindia.com/product/citro-blast-all-purpose-cleaner-plus/
Coarse Foam Polishing Pads For Rotary,Rupes,RP014,Cutting,https://www.detailersindia.com/product/coarse-foam-polishing-pads-for-rotary/
Coarse Microfiber Polishing Pads,Rupes,RP012,Cutting,https://www.detailersindia.com/product/coarse-microfiber-polishing-pads/
Coarse wool polishing pads,Rupes,RP010,Cutting,https://www.detailersindia.com/product/coarse-wool-polishing-pads/
Coating Applicator Micro Sponge XL,MaxProtect,N/A,Sponge,https://www.detailersindia.com/product/coating-applicator-micro-sponge-xl/
Color Guard,Chemverse,CVC005,Tyre/Trim Dresser,https://www.detailersindia.com/product/color-guard/
CRYSTAL-CLEAR VOC Free Glass Cleaner,Nanoskin,NC026,Glass Cleaner,https://www.detailersindia.com/product/crystal-clear-voc-free-glass-cleaner/
Deotex Plus Spray,Fra-Ber,N/A,Spray-on,https://www.detailersindia.com/product/deotex-plus-spray/
Drying Wax – Quick Wax Premium,Fra-Ber,N/A,"Drying Wax, Waxes and Sealants",https://www.detailersindia.com/product/drying-wax-quick-wax-premium/
Eco Polish,Fra-Ber,N/A,Medium Polish,https://www.detailersindia.com/product/eco-polish/
Electroclean,Chemverse,CVC014,Others,https://www.detailersindia.com/product/electroclean/
Engine Cleaner – Super Lavateli Mono,Fra-Ber,77448,Engine Cleaners,https://www.detailersindia.com/product/engine-cleaner-super-lavateli-mono/
Engine Coat,Chemverse,CVC006,Other Coatings,https://www.detailersindia.com/product/engine-coat/
EPIC CR2 Hydro Protect Ceramic Spray,Malco,MAL006,"Paint Coatings, Spray-on Hydrophobic",https://www.detailersindia.com/product/epic-cr2-hydro-protect-ceramic-spray/
EPIC Fabric Coat,Malco,MAL007,"Interior Coatings, Leather Coatings",https://www.detailersindia.com/product/epic-fabric-coat/
EPIC Finish Polish,Malco,MAL003,Finishing Compounds,https://www.detailersindia.com/product/epic-finish-polish/
EPIC Heavy Duty Compound,Malco,MAL001,Cutting Compounds,https://www.detailersindia.com/product/epic-heavy-duty-compound/
EPIC Leather Coat,Malco,MAL027,Leather Coatings,https://www.detailersindia.com/product/epic-leather-coat/
EPIC Medium Duty Compound,Malco,MAL002,Medium Cut Compounds,https://www.detailersindia.com/product/epic-medium-duty-compound/
EPIC Paint Correction Kit,Malco,MAL004,Paint Correction Kit,https://www.detailersindia.com/product/epic-paint-correction-kit/
EPIC Revive NU,Malco,MAL005,Trim Restorers,https://www.detailersindia.com/product/epic-revive-nu/
Exhaust Coat,Chemverse,CVC007,Other Coatings,https://www.detailersindia.com/product/exhaust-coat/
Fast Curing Ceramic Coating UNC V2,MaxProtect,MP003,Paint Coatings,https://www.detailersindia.com/product/fast-curing-ceramic-coating-unc-v2/
Fast Shot Wheel & Tire Cleaner Non-Acid Formula,Malco,MAL015,Wheel Cleaners,https://www.detailersindia.com/product/fast-shot-wheel-tire-cleaner-non-acid-formula/
Final Finish 3000 (FF 3000),Menzerna,MZ007,Finishing Compounds,https://www.detailersindia.com/product/final-finish-3000-ff-3000/
Fine Microfiber Polishing Pads,Rupes,RP013,Finishing,https://www.detailersindia.com/product/fine-microfiber-polishing-pads/
Fine Polishing Foam Pads For Rotary,Rupes,RP015,"Finishing, Medium Polish",https://www.detailersindia.com/product/fine-polishing-foam-pads-for-rotary/
FIRST CUT Polishing Compound,Nanoskin,NC007,Cutting Compounds,https://www.detailersindia.com/product/first-cut-polishing-compound/
Flexible Membrane Coating UNC-R,MaxProtect,MP004,Paint Coatings,https://www.detailersindia.com/product/flexible-membrane-coating-unc-r/
Foam Abrasive Ø 125Mm – X-CUT,Rupes,RP018,Abrasive Foam Pads,https://www.detailersindia.com/product/foam-abrasive-o-125mm-x-cut/
Foam Abrasive Ø 150Mm – X-CUT,Rupes,RP017,Abrasive Foam Pads,https://www.detailersindia.com/product/foam-abrasive-o-150mm-x-cut/
Foam Abrasive Ø 75mm – X-CUT,Rupes,RP019,Abrasive Foam Pads,https://www.detailersindia.com/product/foam-abrasive-o-75mm-x-cut/
FORMULA 67 Professional Quick Detailer,Nanoskin,NC008,"Cutting Compounds, Other Compounds",https://www.detailersindia.com/product/formula-67-professional-quick-detailer/
Galvanizing Spray,Chemverse,CVC008,Other Coatings,https://www.detailersindia.com/product/galvanizing-spray/
GLIDE Instant Detail Spray Lubricant,Nanoskin,NC027,Clay Lube,https://www.detailersindia.com/product/glide-instant-detail-spray-lubricant/
GLOSS IT Interior Spray Shine – Aerosol,Nanoskin,NC035,Spray-on,https://www.detailersindia.com/product/gloss-it-interior-spray-shine-aerosol/
GREASE FREE Power Cleaner & Degreaser,Nanoskin,NC003,Degreasers,https://www.detailersindia.com/product/grease-free-power-cleaner-degreaser/
Heavy Cut Compound 1000 (HCC 1000),Menzerna,MZ003,Cutting Compounds,https://www.detailersindia.com/product/heavy-cut-compound-1000-hcc-1000/
Heavy Cut Compound 1100 (HCC 1100),Menzerna,MZ004,Cutting Compounds,https://www.detailersindia.com/product/heavy-cut-compound-1100-hcc-1100/
Heavy Cut Compound 400 (HCC400),Menzerna,MZ002,One Step Compounds,https://www.detailersindia.com/product/heavy-cut-compound-400-hcc400/
Heavy cut foam pad,Menzerna,MZ016,Cutting,https://www.detailersindia.com/product/heavy-cut-foam-pad/
Heavy Duty Interior Cleaner Concentrate,MaxProtect,MP005,Leather Cleaners,https://www.detailersindia.com/product/heavy-duty-interior-cleaner-concentrate/
HI GLAZE High Endurance Glaze,Nanoskin,NC014,"Sealants, Spray-on Hydrophobic",https://www.detailersindia.com/product/hi-glaze-high-endurance-glaze/
High Performance Coarse Cutting Foam Pad – D-A Coarse,Rupes,RP007,"Cutting, Heavy Defect Removal",https://www.detailersindia.com/product/high-performance-coarse-cutting-foam-pad-d-a-coarse/
High Performance Cut Polishing Compound – DA Coarse,Rupes,RP003,Cutting Compounds,https://www.detailersindia.com/product/high-performance-cut-polishing-compound-da-coarse/
High Performance Fine Finishing Foam Pad – D-A Fine,Rupes,RP008,Finishing,https://www.detailersindia.com/product/high-performance-fine-finishing-foam-pad-d-a-fine/
High Performance Fine Polishing Compound – DA Fine,Rupes,RP004,Finishing Compounds,https://www.detailersindia.com/product/high-performance-fine-polishing-compound-da-fine/
High Performance Ultra Fine Foam Pad – D-A Ultra Fine,Rupes,RP009,Finishing,https://www.detailersindia.com/product/high-performance-ultra-fine-foam-pad-d-a-ultra-fine/
HOME RUN Heavy Duty Degreaser,Nanoskin,NC005,"Degreasers, Engine Degreasers",https://www.detailersindia.com/product/home-run-heavy-duty-degreaser/
HYDROPHOBIC Nano Carnauba Wax,Nanoskin,NC012,Paste Wax,https://www.detailersindia.com/product/hydrophobic-nano-carnauba-wax/
iBrid Nano Polisher Long Neck with 3 different movements -HR81ML/BLX,Rupes,RP035,Polishing Machines,https://www.detailersindia.com/product/ibrid-nano-polisher-long-neck-with-3-different-movements-hr81ml-blx/
iBrid Nano Polisher Long Neck with 3 different movements -HR81ML/STB,Rupes,RP034,Polishing Machines,https://www.detailersindia.com/product/ibrid-nano-polisher-long-neck-with-3-different-movements-hr81ml-stb/
iBrid Nano Polisher Long Neck with 3 different movements -HR81ML/STP,Rupes,RP033,Polishing Machines,https://www.detailersindia.com/product/ibrid-nano-polisher-long-neck-with-3-different-movements-hr81ml-stp/
Imperial Foamer Blue,Malco,MAL016,Exterior Shampoos,https://www.detailersindia.com/product/imperial-foamer-blue/
Iron Blaster Fallout Remover,Malco,MAL010,Iron Remover,https://www.detailersindia.com/product/iron-blaster-fallout-remover/
"IRON FREE Paint, Wheel & Glass Decontamination / Fallout Remover",Nanoskin,NC029,"Iron Remover, Iron/Tar Remover",https://www.detailersindia.com/product/iron-free-paint-wheel-glass-decontamination-fallout-remover/
Jade Clear Glass Ceramic Coating Step -1,Puris,PR020,Paint Coatings,https://www.detailersindia.com/product/jade-clear-glass-ceramic-coating-step-1/
Jade Clear Glass Ceramic Coating Step -2,Puris,PR021,Paint Coatings,https://www.detailersindia.com/product/jade-clear-glass-ceramic-coating-step-2/
Jade Edge Ceramic Coating (JECC-50),Puris,PR011,Leather Coatings,https://www.detailersindia.com/product/jade-edge-ceramic-coating-jecc-50/
Jade Edge/Ice/Quartz Coating Applicator,Puris,PR019,Sponge,https://www.detailersindia.com/product/jade-edge-ice-quartz-coating-applicator/
Jade Ice Ceramic Coating (JICC-50),Puris,PR013,Paint Coatings,https://www.detailersindia.com/product/jade-ice-ceramic-coating-jicc-50/
Jade Ice Lite Ceramic Coating (JLCC-50),Puris,PR012,Paint Coatings,https://www.detailersindia.com/product/jade-ice-lite-ceramic-coating-jlcc-50/
Jade Ice Pro,Puris,PR016,Paint Coatings,https://www.detailersindia.com/product/jade-ice-pro/
Jade Marine Ceramic Coating (JMCC-100),Puris,PR015,Paint Coatings,https://www.detailersindia.com/product/jade-marine-ceramic-coating-jmcc-100/
Jade Marine Pro,Puris,PR018,Paint Coatings,https://www.detailersindia.com/product/jade-marine-pro/
Jade Quartz Ceramic Coating (JQCC-50),Puris,PR014,Paint Coatings,https://www.detailersindia.com/product/jade-quartz-ceramic-coating-jqcc-50/
Jade Quartz Pro,Puris,PR017,Paint Coatings,https://www.detailersindia.com/product/jade-quartz-pro/
Lava Cemento Forte,Fra-Ber,71772,Interior Cleaner,https://www.detailersindia.com/product/lava-cemento-forte/
Leather Cleaner – Vera Pelle,Fra-Ber,N/A,Leather Cleaners,https://www.detailersindia.com/product/leather-cleaner-vera-pelle/
Leather Conditioner,Malco,MAL026,Leather Conditioners,https://www.detailersindia.com/product/leather-conditioner/
Leather Conditioner – Crema Pelle,Fra-Ber,N/A,Leather Conditioners,https://www.detailersindia.com/product/leather-conditioner-crema-pelle/
LEATHER CREME Leather & Vinyl Conditioner/Protectant,Nanoskin,NC024,"Interior Dressing, Leather Coatings",https://www.detailersindia.com/product/leather-creme-leather-vinyl-conditioner-protectant/
Lega Concentrato,Fra-Ber,71515,Pre-Wash,https://www.detailersindia.com/product/lega-concentrato/
M1000 Rotary Polisher,MaxShine,MS004,Polishing Machines,https://www.detailersindia.com/product/m1000-rotary-polisher/
M15 Pro Dual Action Polisher II series,MaxShine,MS002,Polishing Machines,https://www.detailersindia.com/product/m15-pro-dual-action-polisher-ii-series/
M15 Pro G Dual Action Polisher,MaxShine,MS001,Polishing Machines,https://www.detailersindia.com/product/m15-pro-g-dual-action-polisher/
M312 Dual Action Polisher,MaxShine,MS003,Polishing Machines,https://www.detailersindia.com/product/m312-dual-action-polisher/
M550 Rotary Polisher,MaxShine,MS005,Polishing Machines,https://www.detailersindia.com/product/m550-rotary-polisher/
MAJESTIC Hydrophobic Creme Wax,Nanoskin,NC011,Paste Wax,https://www.detailersindia.com/product/majestic-hydrophobic-creme-wax/
Maxshine 125mm/5″ Cross Cut Foam Cutting Pad Green,MaxShine,MS012,Pads,https://www.detailersindia.com/product/maxshine-125mm-5-cross-cut-foam-cutting-pad-green/
Maxshine 125mm/5″ Cross Cut Foam Finishing Pad Red,MaxShine,MS014,Pads,https://www.detailersindia.com/product/maxshine-125mm-5-cross-cut-foam-finishing-pad-red/
Maxshine 125mm/5″ Cross Cut Foam Polishing Pad Yellow,MaxShine,MS013,Pads,https://www.detailersindia.com/product/maxshine-125mm-5-cross-cut-foam-polishing-pad-yellow/
Maxshine Backing Pad 125mm/5” for Dual Action Polisher  (5/16” Thread),MaxShine,MS006,Pads,https://www.detailersindia.com/product/maxshine-backing-pad-125mm-5-for-dual-action-polisher-5-16-thread/
Maxshine Backing Pad 125mm/5” for Rotary Polisher (5/8” Thread) (Soft Edge),MaxShine,MS009,Pads,https://www.detailersindia.com/product/maxshine-backing-pad-125mm-5-for-rotary-polisher-5-8-thread-soft-edge/
Maxshine Backing Pad 150mm/6” for Rotary Polisher (5/8” Thread),MaxShine,MS008,Pads,https://www.detailersindia.com/product/maxshine-backing-pad-150mm-6-for-rotary-polisher-5-8-thread/
Maxshine Backing Pad 70mm/3” for Dual Action Polisher (5/16” Thread),MaxShine,MS007,Pads,https://www.detailersindia.com/product/maxshine-backing-pad-70mm-3-for-dual-action-polisher-5-16-thread/
Maxshine Backing Pad 75mm/3” for Rotary Polisher (5/8” Thread),MaxShine,MS010,Pads,https://www.detailersindia.com/product/maxshine-backing-pad-75mm-3-for-rotary-polisher-5-8-thread/
Maxshine Backing Pad 75mm/3” for Rotary Polisher 5/8” Thread (Soft Edge),MaxShine,MS011,Pads,https://www.detailersindia.com/product/maxshine-backing-pad-75mm-3-for-rotary-polisher-5-8-thread-soft-edge/
